district,grade,category,year,num_total_days,num_days_absent,num_days_present,pct_attendance,num_contributing_10and_total_days_and_1and_pres_day,num_chronically_absent,pct_chronically_absent
1,All Grades,All Students,2018,1946527,167998,1778529,91.36934662,11815,3280,27.76132011
1,All Grades,All Students,2019,1925995,175153,1750842,90.90584564,11643,3394,29.15056229
1,All Grades,All Students,2020,1244332,112467,1131865,90.96165466,11418,3188,27.92082596
1,All Grades,All Students,2021,1825555,195624,1629931,89.28413391,10792,3051,28.27094078
1,All Grades,All Students,2022,1718214,221021,1497193,87.13658142,10378,4407,42.46482849
1,PK in K-12 Schools,All Students,2018,73863,8197,65666,88.90242767,458,194,42.358078
1,PK in K-12 Schools,All Students,2019,75544,8151,67393,89.21025848,461,198,42.95010757
1,PK in K-12 Schools,All Students,2020,50699,5269,45430,89.60729218,473,195,41.22621536
1,PK in K-12 Schools,All Students,2021,62282,7701,54581,87.63526917,389,153,39.33161926
1,PK in K-12 Schools,All Students,2022,79660,12165,67495,84.72885132,505,289,57.22772217
1,0K,All Students,2018,151330,13877,137453,90.82997131,911,335,36.77277756
1,0K,All Students,2019,142387,13705,128682,90.37482452,851,317,37.25029373
1,0K,All Students,2020,92967,8429,84538,90.93334198,846,281,33.21512985
1,0K,All Students,2021,126136,10454,115682,91.71212006,765,216,28.23529434
1,0K,All Students,2022,120329,15054,105275,87.48930359,718,329,45.82172775
1,1,All Students,2018,151606,10921,140685,92.79646301,892,238,26.68161392
1,1,All Students,2019,151359,11908,139451,92.13261414,896,261,29.1294651
1,1,All Students,2020,88944,7379,81565,91.70376587,805,231,28.69565201
1,1,All Students,2021,132820,11013,121807,91.70832825,785,225,28.66242027
1,1,All Students,2022,123575,12971,110604,89.50354004,731,281,38.44049072
1,2,All Students,2018,152728,10446,142282,93.16039276,902,216,23.94678497
1,2,All Students,2019,145929,10328,135601,92.92258453,857,215,25.08751488
1,2,All Students,2020,96911,7434,89477,92.32904053,875,251,28.68571472
1,2,All Students,2021,129243,9208,120035,92.87543488,765,182,23.79084969
1,2,All Students,2022,121447,13278,108169,89.0668335,722,302,41.8282547
1,3,All Students,2018,152703,9288,143415,93.91760254,896,191,21.3169651
1,3,All Students,2019,149871,10601,139270,92.92658234,884,232,26.24434471
1,3,All Students,2020,93750,6570,87180,92.99199677,842,209,24.82185364
1,3,All Students,2021,137734,10332,127402,92.49858093,812,184,22.66009903
1,3,All Students,2022,120535,12539,107996,89.59721375,714,274,38.37535095
1,4,All Students,2018,149499,8687,140812,94.18926239,872,170,19.49541283
1,4,All Students,2019,150185,8901,141284,94.07331085,881,181,20.54483604
1,4,All Students,2020,93723,6108,87615,93.48292542,847,198,23.37662315
1,4,All Students,2021,135225,9022,126203,93.32815552,787,163,20.71156311
1,4,All Students,2022,124369,13382,110987,89.24008179,726,293,40.35812759
1,5,All Students,2018,144524,8508,136016,94.11309052,844,158,18.72037888
1,5,All Students,2019,147610,9310,138300,93.69284058,856,193,22.54672813
1,5,All Students,2020,96212,5837,90375,93.93318939,863,187,21.66859818
1,5,All Students,2021,137600,9747,127853,92.91642761,801,177,22.09737778
1,5,All Students,2022,127046,13433,113613,89.42666626,740,290,39.18918991
1,6,All Students,2018,141431,8372,133059,94.08050537,825,170,20.60606003
1,6,All Students,2019,134108,8020,126088,94.01974487,779,148,18.99871635
1,6,All Students,2020,87227,5364,81863,93.8505249,785,153,19.49044609
1,6,All Students,2021,131662,6921,124741,94.7433548,766,114,14.88250637
1,6,All Students,2022,124217,12201,112016,90.17767334,725,250,34.48275757
1,7,All Students,2018,142041,8575,133466,93.9630127,820,160,19.51219559
1,7,All Students,2019,140520,8880,131640,93.68061829,813,171,21.03321075
1,7,All Students,2020,87821,5239,82582,94.03445435,783,146,18.6462326
1,7,All Students,2021,130845,9780,121065,92.52550507,761,167,21.94480896
