district,year,total_enrollment,grade_3k,grade_pk_(half_day_&_full_day),grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,num_female,pct_female,num_male,pct_male,num_asian,pct_asian,num_black,pct_black,num_hispanic,pct_hispanic,num_multi-racial,pct_multi-racial,num_native_american,pct_native_american,num_white,pct_white,num_missing_race/ethnicity_data,pct_missing_race/ethnicity_data,num_students_with_disabilities,pct_students_with_disabilities,num_english_language_learners,pct_english_language_learners,num_poverty,pct_poverty,economic_need_index
1,2018,11632,0,800,851,846,854,862,839,813,786,798,843,729,959,905,747,5590,0.48057085275650024,6042,0.5194291472434998,2517,0.2163858264684677,1800,0.15474553406238556,4887,0.42013412714004517,306,0.026306740939617157,71,0.006103851366788149,2022,0.1738308072090149,29,0.002493122359737754,2528,0.21733149886131287,1016,0.08734525740146637,7682,0.6604195237159729,0.6701629757881165
1,2019,11376,0,759,799,850,816,838,839,832,750,780,782,746,928,813,844,5457,0.47969409823417664,5919,0.5203059315681458,2443,0.21475034952163696,1758,0.15453585982322693,4695,0.412710964679718,337,0.029623769223690033,60,0.005274261813610792,2045,0.17976441979408264,38,0.0033403655979782343,2597,0.22828762233257294,966,0.08491560816764832,7314,0.6429324746131897,0.6612324118614197
1,2020,11506,211,749,812,782,848,813,818,831,758,765,793,817,873,801,835,5517,0.47948896884918213,5989,0.5205110311508179,2442,0.21223708987236023,1747,0.15183383226394653,4689,0.40752649307250977,383,0.03328698128461838,63,0.00547540420666337,2056,0.1786893755197525,126,0.01095080841332674,2593,0.2253606766462326,919,0.07987137138843536,7419,0.6447940468788147,0.6769576668739319
1,2021,11021,209,623,728,762,746,787,775,788,755,752,756,830,894,825,791,5278,0.4789039194583893,5743,0.5210961103439331,2331,0.21150530874729156,1630,0.14789946377277374,4483,0.40676888823509216,427,0.03874421492218971,57,0.005171944387257099,1992,0.18074585497379303,101,0.009164323098957539,2501,0.2269304096698761,919,0.08338626474142075,7087,0.6430450677871704,0.6701181530952454
1,2022,10327,347,524,685,701,686,680,707,717,707,687,718,756,815,784,813,4958,0.48010072112083435,5369,0.519899308681488,2110,0.20431877672672272,1570,0.1520286649465561,4289,0.4153190553188324,417,0.040379587560892105,53,0.005132177844643593,1859,0.18001355230808258,29,0.002808172721415758,2355,0.22804298996925354,814,0.07882250100374222,6463,0.6258351802825928,0.6532162427902222
2,2018,63497,0,2558,3193,2961,2873,2750,2777,2864,2743,2580,2548,9515,9609,8353,8173,33172,0.5224183797836304,30316,0.47743988037109375,14213,0.22383734583854675,9391,0.14789675176143646,20623,0.3247869908809662,1897,0.02987542748451233,336,0.005291588604450226,16360,0.2576499581336975,677,0.010661921463906765,10882,0.17137818038463593,5392,0.08491739630699158,34971,0.5507504343986511,0.543491005897522
2,2019,62973,0,2665,3033,3077,2830,2773,2710,2698,2816,2691,2600,9511,9025,8608,7936,32786,0.5206358432769775,30187,0.47936418652534485,13978,0.2219681441783905,8865,0.14077462255954742,20355,0.3232337534427643,2127,0.033776380121707916,353,0.005605577025562525,16659,0.26454195380210876,636,0.010099566541612148,11080,0.17594842612743378,5049,0.08017721772193909,33493,0.5318628549575806,0.5293187499046326
2,2020,62820,235,2731,3128,2896,2978,2772,2712,2667,2780,2757,2701,9113,9118,8073,8159,32668,0.5200254917144775,30152,0.47997453808784485,13918,0.22155363857746124,8629,0.13736070692539215,20153,0.32080549001693726,2251,0.035832539200782776,354,0.005635147914290428,16983,0.2703438401222229,532,0.008468640968203545,11015,0.17534224689006805,4647,0.07397325336933136,32756,0.5214263200759888,0.5351746678352356
2,2021,60327,187,2416,2695,2622,2506,2600,2525,2481,2625,2638,2674,9135,8992,8535,7696,31440,0.5211597084999084,28887,0.47884032130241394,13455,0.22303445637226105,8338,0.1382134109735489,19782,0.3279128670692444,2169,0.03595405071973801,352,0.005834866780787706,15503,0.2569827735424042,728,0.012067564763128757,10992,0.18220697343349457,4835,0.08014653623104095,32302,0.5354484915733337,0.5405256152153015
2,2022,57900,837,2093,2518,2441,2328,2272,2362,2281,2325,2398,2490,8602,8841,8076,8036,30372,0.5245595574378967,27528,0.4754404127597809,12784,0.2207944691181183,8010,0.1383419632911682,19190,0.33143350481987,2209,0.03815198689699173,370,0.006390328053385019,14647,0.2529706358909607,690,0.011917098425328732,10364,0.17899827659130096,4766,0.08231433480978012,30364,0.5244213938713074,0.5301958322525024
